trophicGroup,experiment,year,region,annual_mean,annual_sd,annual_mean_u,annual_mean_l
Carni,ssp370,2088,Temperate,0.12372413296453538,1.0577679453505602,1.1814920783150955,-0.9340438123860249
Carni,ssp370,2089,Temperate,0.005451748180267378,1.4004676317426745,1.405919379922942,-1.3950158835624071
Carni,ssp370,2090,Temperate,0.1796261315354696,0.9559024600640981,1.1355285915995676,-0.7762763285286285
Carni,ssp370,2091,Temperate,0.1381369687160748,1.3011673836789746,1.4393043523950493,-1.1630304149628998
Carni,ssp370,2092,Temperate,0.1929047257092098,1.5062821633975234,1.6991868891067332,-1.3133774376883136
Carni,ssp370,2093,Temperate,0.11250023518936555,1.119504087017151,1.2320043222065167,-1.0070038518277855
Carni,ssp370,2094,Temperate,0.12569367030759432,1.2630369730515731,1.3887306433591675,-1.1373433027439788
Carni,ssp370,2095,Temperate,0.11936823079102685,1.5185840340734917,1.6379522648645186,-1.3992158032824649
Carni,ssp370,2096,Temperate,0.16342226705318763,1.7484375850511418,1.9118598521043295,-1.585015317997954
Carni,ssp370,2097,Temperate,0.10030193946879362,1.8230567999318137,1.9233587394006073,-1.72275486046302
Carni,ssp370,2098,Temperate,0.11856309127896175,1.477895406768969,1.5964584980479306,-1.3593323154900072
Carni,ssp370,2099,Temperate,0.15594890960330915,1.8496107284895142,2.0055596380928233,-1.6936618188862052
Carni,ssp370,2100,Temperate,0.16038201423638682,1.3210892483174772,1.481471262553864,-1.1607072340810904
Carni,ssp585,1980,Temperate,-0.015308904992182697,0.6916078335999541,0.6762989286077714,-0.7069167385921369
Carni,ssp585,1981,Temperate,0.02875898303331798,0.7876250796509728,0.8163840626842909,-0.7588660966176548
Carni,ssp585,1982,Temperate,-0.032628467110769804,0.7479602168793089,0.7153317497685391,-0.7805886839900787
Carni,ssp585,1983,Temperate,-0.00594522250324665,0.831343288829566,0.8253980663263193,-0.8372885113328127
Carni,ssp585,1984,Temperate,0.04627808508174666,0.7319687664828619,0.7782468515646086,-0.6856906814011152
Carni,ssp585,1985,Temperate,-0.01203723058848118,0.7707300223620674,0.7586927917735863,-0.7827672529505486
Carni,ssp585,1986,Temperate,-0.05787951106617949,0.8605842453418808,0.8027047342757013,-0.9184637564080603
Carni,ssp585,1987,Temperate,-0.08482164958832877,0.62026328353847,0.5354416339501413,-0.7050849331267988
Carni,ssp585,1988,Temperate,-0.0023682024179002233,0.7542490248183811,0.7518808224004808,-0.7566172272362813
Carni,ssp585,1989,Temperate,0.04457796798762464,0.7653194246561847,0.8098973926438093,-0.7207414566685602
Carni,ssp585,1990,Temperate,0.029550838536461423,0.6787061645403,0.7082570030767614,-0.6491553260038385
Carni,ssp585,1991,Temperate,0.05207412649283009,0.5489103490432332,0.6009844755360633,-0.4968362225504031
Carni,ssp585,1992,Temperate,0.028370776218948037,0.53794691328166,0.566317689500608,-0.509576137062712
Carni,ssp585,1993,Temperate,-0.014451408260567148,0.5439754518054652,0.5295240435448981,-0.5584268600660324
Carni,ssp585,1994,Temperate,0.02248454910241527,0.8895828044230788,0.9120673535254941,-0.8670982553206635
Carni,ssp585,1995,Temperate,-0.05672093415899259,0.8739494993551024,0.8172285651961098,-0.930670433514095
Carni,ssp585,1996,Temperate,0.015191773641116582,0.7442324038206439,0.7594241774617605,-0.7290406301795274
Carni,ssp585,1997,Temperate,-0.022653366557602857,0.4657415131525022,0.4430881465948993,-0.48839487971010503
Carni,ssp585,1998,Temperate,-0.059606033238712025,0.5303244400416129,0.4707184068029009,-0.589930473280325
Carni,ssp585,1999,Temperate,0.08244731067269342,0.6723983090441256,0.754845619716819,-0.5899509983714322
Carni,ssp585,2000,Temperate,0.014686519715808173,1.0318473401828228,1.046533859898631,-1.0171608204670146
Carni,ssp585,2001,Temperate,0.012939882222940678,1.0578885491015764,1.070828431324517,-1.0449486668786356
Carni,ssp585,2002,Temperate,0.010431030706769324,0.8192237637043926,0.829654794411162,-0.8087927329976233
Carni,ssp585,2003,Temperate,0.13535096426300086,0.6597124889527227,0.7950634532157236,-0.5243615246897219
Carni,ssp585,2004,Temperate,0.04557901185744947,0.974915280884621,1.0204942927420704,-0.9293362690271715
Carni,ssp585,2005,Temperate,0.045944810895299386,0.6248017801029007,0.6707465909982,-0.5788569692076013
Carni,ssp585,2006,Temperate,0.06202576444742105,0.8353328447234756,0.8973586091708966,-0.7733070802760545
Carni,ssp585,2007,Temperate,-0.0077474714915410515,1.0120468778533147,1.0042994063617736,-1.0197943493448558
Carni,ssp585,2008,Temperate,0.04347819915670311,0.8659662515083335,0.9094444506650367,-0.8224880523516304
Carni,ssp585,2009,Temperate,-0.10663305714076039,1.0202133104156952,0.9135802532749348,-1.1268463675564555
Carni,ssp585,2010,Temperate,-0.11679045737006725,0.8265412889814231,0.7097508316113559,-0.9433317463514903
Carni,ssp585,2011,Temperate,0.0337089696000911,0.8703674990660711,0.9040764686661622,-0.8366585294659801
Carni,ssp585,2012,Temperate,0.007633577261227777,0.9611931765136585,0.9688267537748864,-0.9535595992524307
Carni,ssp585,2013,Temperate,0.021789048453491548,0.7583083527747437,0.7800974012282352,-0.7365193043212522
Carni,ssp585,2014,Temperate,0.07176974437395545,0.9026514859778926,0.974421230351848,-0.8308817416039371
Carni,ssp585,2015,Temperate,-0.005502674078631583,0.7657105722991164,0.7602078982204848,-0.771213246377748
Carni,ssp585,2016,Temperate,0.14826274499551262,0.6936387602428508,0.8419015052383634,-0.5453760152473381
Carni,ssp585,2017,Temperate,-0.04127292597882019,0.9021899597460419,0.8609170337672217,-0.943462885724862
Carni,ssp585,2018,Temperate,-0.059993503177535296,1.1580621844390686,1.0980686812615332,-1.218055687616604
Carni,ssp585,2019,Temperate,-0.02178930435905231,0.863742232024186,0.8419529276651336,-0.8855315363832383
Carni,ssp585,2020,Temperate,0.10838146384663641,0.8488035504740876,0.957185014320724,-0.7404220866274512
Carni,ssp585,2021,Temperate,-0.027206080825884472,0.7690376531962118,0.7418315723703273,-0.79624373402209625
Carni,ssp585,2022,Temperate,0.012906111538295864,0.7844050612087882,0.7973111727470841,-0.7714989496704923
Carni,ssp585,2023,Temperate,0.03928813279980521,1.0613467688382239,1.100634901638029,-1.0220586360384187
Carni,ssp585,2024,Temperate,-0.03617091389889936,0.9452027056025274,0.909031791703628,-0.9813736195014268
Carni,ssp585,2025,Temperate,-0.042189878432456515,1.1171897625823102,1.0749998841498536,-1.1593796410147668
Carni,ssp585,2026,Temperate,0.0025589672662215844,0.9840495803102612,0.9866085475764829,-0.9814906130440396
Carni,ssp585,2027,Temperate,0.04570455053501751,0.5768563339440068,0.6225608844790244,-0.5311517834089893
Carni,ssp585,2028,Temperate,-0.08416355996363514,1.2093430473264692,1.125179487362834,-1.2935066072901045
Carni,ssp585,2029,Temperate,-0.06364329522088177,0.8112393911917477,0.747596095970866,-0.8748826864126295
Carni,ssp585,2030,Temperate,0.02014884455669732,0.8158693926428059,0.8360182371995032,-0.7957205480861086
Carni,ssp585,2031,Temperate,0.005085904846794217,1.0950693105037983,1.1001552153505925,-1.0899834056570041
Carni,ssp585,2032,Temperate,0.042450328406408513,0.7235236879621891,0.7659740163685976,-0.6810733595557806
Carni,ssp585,2033,Temperate,0.0635512345729805,0.7111937828958079,0.7747450174687884,-0.6476425483228274
Carni,ssp585,2034,Temperate,-0.052202371572228456,1.0359226798073564,0.983720308235128,-1.0881250513795848
Carni,ssp585,2035,Temperate,0.0704794378260408,0.961597462979178,1.0320769008052189,-0.8911180251531372
Carni,ssp585,2036,Temperate,0.020670853656070805,1.3327245349184123,1.3533953885744832,-1.3120536812623413
Carni,ssp585,2037,Temperate,-0.04050430652974364,1.2940205682338335,1.2535162617040898,-1.3345248747635772
Carni,ssp585,2038,Temperate,-0.0010365204419924196,0.8618482491998803,0.8608117287578879,-0.8628847696418728
Carni,ssp585,2039,Temperate,0.049871608426788006,0.8412310993700216,0.8911027077968097,-0.7913594909432335
Carni,ssp585,2040,Temperate,-0.05271954098035275,1.1564301897608698,1.103710648780517,-1.2091497307412225
Carni,ssp585,2041,Temperate,3.4528246134181306e-5,0.8474124604356438,0.8474469886817779,-0.8473779321895096
Carni,ssp585,2042,Temperate,-0.027032801868173695,0.9305255358869591,0.9034927340187854,-0.9575583377551328
Carni,ssp585,2043,Temperate,0.040148045359630354,0.8103830586502601,0.8505311040098904,-0.7702350132906297
Carni,ssp585,2044,Temperate,0.02872514328210498,0.9052596815927786,0.9339848248748835,-0.8765345383106736
Carni,ssp585,2045,Temperate,0.04886189254615554,0.8500201757454053,0.8988820682915609,-0.8011582831992498
Carni,ssp585,2046,Temperate,-0.0424499912204561,1.2089395651092711,1.166489573888815,-1.2513895563297273
Carni,ssp585,2047,Temperate,-0.07374230305698203,1.2456660938943291,1.1719237908373472,-1.319408396951311
Carni,ssp585,2048,Temperate,-0.0713728321878781,1.154331983813972,1.082959151626094,-1.2257048160018502
Carni,ssp585,2049,Temperate,0.01767470345545319,1.2222278721372526,1.2399025755927058,-1.2045531686817994
Carni,ssp585,2050,Temperate,-0.0028254679930318615,1.1190866507412642,1.1162611827482323,-1.1219121187342962
Carni,ssp585,2051,Temperate,-0.04473014727903141,0.9918605894881241,0.9471304422090927,-1.0365907367671554
Carni,ssp585,2052,Temperate,-0.0024311127273544558,1.432448288357955,1.4300171756306006,-1.4348794010853094
Carni,ssp585,2053,Temperate,-0.04134646045339159,1.3714145929673258,1.3300681325139343,-1.4127610534207173
Carni,ssp585,2054,Temperate,-0.017228962032377042,0.8615579641642915,0.8443290021319145,-0.8787869261966685
Carni,ssp585,2055,Temperate,-0.041108179212748494,1.1390452982569923,1.0979371190442437,-1.1801534774697409
Carni,ssp585,2056,Temperate,-0.05442562034253057,1.0208721752660255,0.9664465549234948,-1.075297795608556
Carni,ssp585,2057,Temperate,0.05153819662290917,0.9509522037275356,1.002490400350445,-0.8994140071046265
Carni,ssp585,2058,Temperate,0.013098639627202351,1.064785896287657,1.0778845359148594,-1.0516872566604547
Carni,ssp585,2059,Temperate,-0.02881402573903747,1.2124580807694523,1.1836440550304148,-1.2412721065084897
Carni,ssp585,2060,Temperate,0.021517296141155252,1.5200114614547262,1.5415287575958814,-1.498494165313571
Carni,ssp585,2061,Temperate,0.09625435836757909,1.5051214498957057,1.6013758082632847,-1.4088670915281267
Carni,ssp585,2062,Temperate,-0.08243893242641281,1.4125073960539727,1.33006846362756,-1.4949463284803854
Carni,ssp585,2063,Temperate,0.05865025724217256,1.3419843095028634,1.400634566745036,-1.2833340522606909
Carni,ssp585,2064,Temperate,-0.023205553349560405,1.1435579330137924,1.120352379664232,-1.1667634863633527
Carni,ssp585,2065,Temperate,-0.04362300882944471,1.3485566123591906,1.3049336035297459,-1.3921796211886353
Carni,ssp585,2066,Temperate,0.0520353707084671,1.1732996841159433,1.2253350548244104,-1.1212643134074762
Carni,ssp585,2067,Temperate,-0.04013310689635393,1.1646767212332287,1.1245436143368748,-1.2048098281295827
Carni,ssp585,2068,Temperate,0.09901147548724792,1.3174781826486344,1.4164896581358823,-1.2184667071613864
Carni,ssp585,2069,Temperate,0.13891205662977385,1.195372173939749,1.3342842305695228,-1.056460117309975
Carni,ssp585,2070,Temperate,0.17708818221379852,1.0401501389646297,1.2172383211784283,-0.8630619567508312
Carni,ssp585,2071,Temperate,0.13775988397375516,1.3306424042485672,1.4684022882223222,-1.1928825202748121
Carni,ssp585,2072,Temperate,0.15675314851486039,1.3812422410137222,1.5379953895285825,-1.2244890924988618
