order,family,scientificName,aphiaID,TG_latest,References
Calanoida,Euchaetidae,Paraeuchaeta biloba,344996,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta elongata,196779,carnivore,"(Razouls et al., 2005-2026)(Benedetti et al., 2016)(Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta exigua,345051,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta glacialis,104560,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta gracilis,104561,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta hebes,104563,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta norvegica,104566,carnivore,"(Benedetti et al., 2016) (Benedetti et al., 2022) (Razouls et al., 2005-2026; http://copepodes.obs-banyuls.fr/en)"
Calanoida,Euchaetidae,Paraeuchaeta tonsa,359879,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Euchaetidae,Paraeuchaeta tumidula,104573,carnivore,"(Razouls et al., 2005-2026) (Benedetti et al., 2016) (Benedetti et al., 2022)"
Calanoida,Heterorhabdidae,Paraheterorhabdus farrani,345232,carnivore,"(Benedetti et al., 2022)"
Calanoida,Acartiidae,Paralabidocera antarctica,345234,carnivore,Inherited from family level
Calanoida,Parapontellidae,Parapontella brevicornis,104686,carnivore,"(Benedetti et al., 2016)"
Calanoida,Eucalanidae,Pareucalanus attenuatus,237968,omnivore,"(Richardson et al., 2006)"
Calanoida,Eucalanidae,Pareucalanus langae,354594,omnivore,"(Richardson et al., 2006)"
Calanoida,Eucalanidae,Pareucalanus sewelli,360047,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Parvocalanus crassirostris,360051,omnivore,"(Campbell et al., 2021)"
Calanoida,Paracalanidae,Parvocalanus serratipes,360054,omnivore,"(Campbell et al., 2021)"
Calanoida,Phaennidae,Phaenna spinifera,104698,carnivore,"(Benedetti et al., 2016)"
Calanoida,Metridinidae,Pleuromamma abdominalis abdominalis,596242,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma abdominalis,104637,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma borealis,104638,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma gracilis gracilis,1436445,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma gracilis,104639,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma indica,220900,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma piseki,104640,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma quadrungulata quadrungulata,224185,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Pleuromamma robusta robusta,746007,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
